station,channel,station_latitude,station_longitude,vs30_ms,Ml,epicentral_distance,hypocentral_distance,channel_pga_pct_g,channel_pgv_ms
ZNPU,HHN,37.3562,-113.125,1460.0,3.2,193.14,193.16,0.00168819,0.00073356
BCE,ENE,39.6132,-110.4085,1010.0,3.2,184.66,184.68,0.00647184,0.00245319
BCE,ENN,39.6132,-110.4085,1010.0,3.2,184.66,184.68,0.00835591,0.00349329
BRPU,ENE,39.473,-110.74,234.0,3.2,161.95,161.97,0.00503295,0.00136977
BRPU,ENN,39.473,-110.74,234.0,3.2,161.95,161.97,0.00534222,0.00107574
KEUT,ENE,37.0503,-112.529,234.0,3.2,166.77,166.79,0.00935174,0.00336498
KEUT,ENN,37.0503,-112.529,234.0,3.2,166.77,166.79,0.01182803,0.00270413
MTPU,ENE,38.0415,-112.184,1010.0,3.2,94.01,94.05,0.00376185,0.0013304
MTPU,ENN,38.0415,-112.184,1010.0,3.2,94.01,94.05,0.00406155,0.00225098
PKCU,ENE,37.4438,-112.311,1010.0,3.2,124.83,124.85,0.00512838,0.00178287
PKCU,ENN,37.4438,-112.311,1010.0,3.2,124.83,124.85,0.00571158,0.00259414
UTH,ENE,41.1442,-111.9253,256.0,3.4,179.45,179.46,0.00346392,0.0017492
UTH,ENN,41.1442,-111.9253,256.0,3.4,179.45,179.46,0.00373031,0.00150086
WBC,ENE,41.1397,-111.9008,2197.0,3.4,179.12,179.14,0.0052556,0.00138635
WBC,ENN,41.1397,-111.9008,2197.0,3.4,179.12,179.14,0.00633745,0.00182878
7223,HNE,37.1003,-113.5656,234.0,3.3,71.47,71.83,0.04681944,0.01128084
7223,HNN,37.1003,-113.5656,234.0,3.3,71.47,71.83,0.04437945,0.00817087
7224,HNE,37.6725,-113.0715,234.0,3.3,9.1,11.61,0.3515491,0.1039189
7224,HNN,37.6725,-113.0715,234.0,3.3,9.1,11.61,0.4103842,0.1240152
